,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_SECHQ109F0013_5000_GS35F4594G_4730,294864.0,2009,2008-11-18,2009-11-17,D306,ADP SYSTEMS ANALYSIS SERVICES,097779698,SYSTEMS RESEARCH AND APPLICATI,,2009-11-17,SIMPLIFIED ACQUISITION,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ109F0013_5000_GS35F4594G_4730/,6,0
1,CONT_AWD_SECHQ112F0190_5000_263010050_7529,278215.0,2012,2012-08-09,2013-08-12,R499,SUPPORT- PROFESSIONAL: OTHER,097779698,SYSTEMS RESEARCH AND APPLICATIONS CORPORATION,FULL AND OPEN COMPETITION,2013-08-12,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ112F0190_5000_263010050_7529/,2,0
2,CONT_AWD_SECHQ112F0115_5000_GS35F4594G_4730,248411.0,2012,2012-05-31,2013-05-30,D306,IT AND TELECOM- SYSTEMS ANALYSIS,097779698,SYSTEMS RESEARCH AND APPLICATI,FULL AND OPEN COMPETITION,2016-05-30,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ112F0115_5000_GS35F4594G_4730/,1,0
3,CONT_AWD_SECHQ112F0020_5000_263010050_7529,483866.0,2012,2012-01-09,2012-08-23,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,097779698,SYSTEMS RESEARCH AND APPLICATIONS CORPORATION,FULL AND OPEN COMPETITION,2012-08-23,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ112F0020_5000_263010050_7529/,1,0
4,CONT_AWD_SECHQ116C0032_5000_-NONE-_-NONE-,27675006.0,2016,2016-02-01,2026-01-31,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,097779698,"SRA INTERNATIONAL, INC.",FULL AND OPEN COMPETITION,2026-01-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ116C0032_5000_-NONE-_-NONE-/,8,0
0,CONT_AWD_SECHQ112F0283_5000_GS35F4797H_4730,593247.4,2012,2012-09-25,2013-09-25,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,145969783,CGI FEDERAL INCORPORATED,FULL AND OPEN COMPETITION,2013-09-25,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ112F0283_5000_GS35F4797H_4730/,1,1
1,CONT_AWD_SECHQ115C0084_5000_-NONE-_-NONE-,3244659.0,2015,2015-06-26,2020-09-29,D307,IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,145969783,CGI FEDERAL INC.,FULL AND OPEN COMPETITION,2020-09-29,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ115C0084_5000_-NONE-_-NONE-/,4,1
2,CONT_AWD_SECHQ116C0132_5000_-NONE-_-NONE-,5941845.79,2016,2016-09-28,2021-09-27,D307,IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,145969783,CGI FEDERAL INC.,FULL AND OPEN COMPETITION,2021-09-27,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ116C0132_5000_-NONE-_-NONE-/,2,1
0,CONT_AWD_0009_5000_SECHQ106C0045_5000,768956.68,2009,2009-08-04,2010-06-30,7035,ADP SUPPORT EQUIPMENT,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2010-06-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0009_5000_SECHQ106C0045_5000/,1,2
1,CONT_AWD_SECHQ109CALLA0014_5000_SECHQ109F0249_5000,406458.0,2009,2009-09-21,2010-09-20,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,066781865,KEANE FEDERAL SYSTEMS INC,COMPETITIVE DELIVERY ORDER,2010-09-20,SIMPLIFIED ACQUISITION,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ109CALLA0014_5000_SECHQ109F0249_5000/,3,2
2,CONT_AWD_SECHQ106C0045TO0012_5000_SECHQ106C0045_5000,826836.0,2010,2010-09-15,2011-01-31,D301,ADP FACILITY MANAGEMENT,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2011-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ106C0045TO0012_5000_SECHQ106C0045_5000/,5,2
3,CONT_AWD_SECHQ106C0045TO0011_5000_SECHQ106C0045_5000,397600.8,2010,2010-08-05,2011-01-31,D301,ADP FACILITY MANAGEMENT,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2011-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ106C0045TO0011_5000_SECHQ106C0045_5000/,5,2
4,CONT_AWD_SECHQ110CALLA0002_5000_SECHQ109F0249_5000,112561.9,2010,2010-03-05,2010-08-07,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2010-08-07,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ110CALLA0002_5000_SECHQ109F0249_5000/,3,2
5,CONT_AWD_SECHQ106C0045TO0013_5000_SECHQ106C0045_5000,303139.31,2010,2010-09-16,2011-01-31,D301,ADP FACILITY MANAGEMENT,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2011-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ106C0045TO0013_5000_SECHQ106C0045_5000/,5,2
6,CONT_AWD_SECHQ110CALLA0022_5000_SECHQ109F0249_5000,585784.0,2010,2010-09-17,2011-09-27,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2011-09-27,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ110CALLA0022_5000_SECHQ109F0249_5000/,1,2
7,CONT_AWD_SECHQ106C0045TO0010_5000_SECHQ106C0045_5000,64075.0,2010,2010-06-10,2011-01-31,D301,ADP FACILITY MANAGEMENT,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2011-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ106C0045TO0010_5000_SECHQ106C0045_5000/,5,2
8,CONT_AWD_0015_5000_SECHQ106C0045_5000,514274.79,2011,2011-07-12,2012-01-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2012-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0015_5000_SECHQ106C0045_5000/,5,2
9,CONT_AWD_0016_5000_SECHQ106C0045_5000,2829611.15,2011,2011-08-17,2012-01-31,D302,ADP SYSTEMS DEVELOPMENT SERVICES,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2012-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0016_5000_SECHQ106C0045_5000/,5,2
10,CONT_AWD_0017_5000_SECHQ106C0045_5000,1617199.12,2011,2011-09-21,2012-01-31,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2012-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_0017_5000_SECHQ106C0045_5000/,5,2
11,CONT_AWD_SECHQ106C0045TO0014_5000_SECHQ106C0045_5000,281179.6,2011,2011-03-30,2012-01-31,D307,AUTOMATED INFORMATION SYSTEM SVCS,066781865,KEANE FEDERAL SYSTEMS INC,FULL AND OPEN COMPETITION,2012-01-31,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_SECHQ106C0045TO0014_5000_SECHQ106C0045_5000/,5,2
