,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_DJFA9M0804105_1549_-NONE-_-NONE-,89695859.0,2009,2009-04-27,2010-05-06,D302,ADP SYSTEMS DEVELOPMENT SERVICES,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2010-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA9M0804105_1549_-NONE-_-NONE-/,3,0
1,CONT_AWD_DJFA9M0804106_1549_-NONE-_-NONE-,154696927.0,2009,2009-07-17,2010-05-06,D302,ADP SYSTEMS DEVELOPMENT SERVICES,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2010-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA9M0804106_1549_-NONE-_-NONE-/,3,0
2,CONT_AWD_DJFA9M0804103_1549_-NONE-_-NONE-,46612183.0,2009,2009-02-25,2010-05-06,D302,ADP SYSTEMS DEVELOPMENT SERVICES,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2010-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA9M0804103_1549_-NONE-_-NONE-/,3,0
3,CONT_AWD_DJFA9M0804107_1549_-NONE-_-NONE-,12167634.92,2009,2009-09-18,2010-05-06,D302,ADP SYSTEMS DEVELOPMENT SERVICES,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2010-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA9M0804107_1549_-NONE-_-NONE-/,3,0
4,CONT_AWD_DJFJFBI09057_1549_-NONE-_-NONE-,9693630.0,2009,2009-04-30,2011-04-30,R499,OTHER PROFESSIONAL SERVICES,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2011-04-30,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFJFBI09057_1549_-NONE-_-NONE-/,3,0
5,CONT_AWD_DJFA0M0804108_1549_-NONE-_-NONE-,50792213.0,2010,2010-04-26,2011-05-06,D302,ADP SYSTEMS DEVELOPMENT SERVICES,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2011-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA0M0804108_1549_-NONE-_-NONE-/,3,0
6,CONT_AWD_DJFA2M0804111_1549_-NONE-_-NONE-,6136450.88,2012,2011-12-02,2012-05-06,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2012-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA2M0804111_1549_-NONE-_-NONE-/,3,0
7,CONT_AWD_DJFA1M0804110_1549_-NONE-_-NONE-,107644562.0,2011,2011-05-07,2012-05-06,D302,ADP SYSTEMS DEVELOPMENT SERVICES,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2012-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA1M0804110_1549_-NONE-_-NONE-/,3,0
8,CONT_AWD_DJFA2M0804112_1549_-NONE-_-NONE-,98641581.99,2012,2012-05-07,2013-05-06,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,011367237,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2013-05-06,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJFA2M0804112_1549_-NONE-_-NONE-/,3,0
0,CONT_AWD_DJF131200P0000527_1549_DJFJFBI08041_1549,54367439.0,2013,2013-05-07,2014-05-06,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,078604247,LOCKHEED MARTIN CORPORATION,FULL AND OPEN COMPETITION,2014-05-06,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_DJF131200P0000527_1549_DJFJFBI08041_1549/,3,1
