,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_HHSD2002010371960001_7523_HHSD200201037196I_7523,1000.0,2010,2010-09-30,2010-10-29,R421,TECHNICAL ASSISTANCE,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2010-10-29,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSD2002010371960001_7523_HHSD200201037196I_7523/,1,0
1,CONT_AWD_HHSP233201100159G_7555_GS35F0371N_4730,6890581.43,2011,2011-03-18,2013-03-17,D302,ADP SYSTEMS DEVELOPMENT SERVICES,139727148,ACCENTURE NATIONAL SECURITY SERVICES LIMITED LIABILITY COMPANY,FULL AND OPEN COMPETITION,2013-03-17,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSP233201100159G_7555_GS35F0371N_4730/,4,0
2,CONT_AWD_HHSM500201500246C_7530_-NONE-_-NONE-,25000000.0,2015,2014-12-23,2016-01-10,7010,ADPE SYSTEM CONFIGURATION,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2020-07-10,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201500246C_7530_-NONE-_-NONE-/,1,0
3,CONT_AWD_HHSM500201400191C_7530_-NONE-_-NONE-,45000000.0,2014,2014-01-11,2015-01-10,7010,ADPE SYSTEM CONFIGURATION,139727148,ACCENTURE FEDERAL SERVICES LLC,NOT COMPETED,2015-01-10,ONLY ONE SOURCE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201400191C_7530_-NONE-_-NONE-/,1,0
4,CONT_AWD_HHSP23337001T_7555_HHSP233201500201I_7555,64238.48,2015,2015-09-30,2016-03-29,R406,SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELOPMENT,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2016-03-29,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSP23337001T_7555_HHSP233201500201I_7555/,2,0
5,CONT_AWD_HHSH250201600048W_7526_HHSN316201200002W_7529,15514946.56,2016,2016-08-08,2017-08-07,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2021-08-07,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSH250201600048W_7526_HHSN316201200002W_7529/,6,0
6,CONT_AWD_HHSN26300001_7529_HHSN316201200002W_7529,591355.99,2017,2017-09-07,2017-12-10,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2017-12-10,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSN26300001_7529_HHSN316201200002W_7529/,4,0
7,CONT_AWD_75P00118F00327_7570_GS35F540GA_4732,4317757.0,2018,2018-09-26,2021-09-14,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2021-09-14,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_75P00118F00327_7570_GS35F540GA_4732/,8,0
8,CONT_AWD_75P00119F00041_7570_HHSN316201200002W_7529,2758877.0,2019,2019-03-20,2020-03-19,J023,"MAINT/REPAIR/REBUILD OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2024-03-19,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_75P00119F00041_7570_HHSN316201200002W_7529/,1,0
0,CONT_AWD_HHSM500201500252C_7530_-NONE-_-NONE-,30337188.0,2015,2015-03-16,2016-03-15,D307,IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,137256181,VENTECH SOLUTIONS INC.,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2025-03-15,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201500252C_7530_-NONE-_-NONE-/,6,1
0,CONT_AWD_HHSM500T0001_7530_HHSM500200600023I_7530,22990591.0,2009,2009-04-01,2010-03-31,R499,OTHER PROFESSIONAL SERVICES,807899653,"NATIONAL GOVERNMENT SERVICES, INC.",NON-COMPETITIVE DELIVERY ORDER,2012-03-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500T0001_7530_HHSM500200600023I_7530/,1,2
1,CONT_AWD_HHSM500201000028C_7530_-NONE-_-NONE-,2256206.0,2010,2010-08-10,2012-08-09,D302,ADP SYSTEMS DEVELOPMENT SERVICES,807899653,"NATIONAL GOVERNMENT SERVICES, INC.",FULL AND OPEN COMPETITION,2015-08-09,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201000028C_7530_-NONE-_-NONE-/,2,2
2,CONT_AWD_HHSM500201100050C_7530_-NONE-_-NONE-,1599004.0,2011,2011-05-06,2012-05-05,D302,ADP SYSTEMS DEVELOPMENT SERVICES,807899653,"NATIONAL GOVERNMENT SERVICES, INC.",NOT COMPETED,2012-05-05,ONLY ONE SOURCE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201100050C_7530_-NONE-_-NONE-/,1,2
3,CONT_AWD_HHSM500201200046G_7530_GS35F0674T_4730,856404.0,2012,2012-05-01,2013-05-02,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,807899653,NATIONAL GOVERNMENT SERVICES INCORPORATED,FULL AND OPEN COMPETITION,2013-05-02,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201200046G_7530_GS35F0674T_4730/,1,2
4,CONT_AWD_HHSM500201200182G_7530_GS35F0674T_4730,1932494.0,2012,2012-09-24,2013-09-23,R499,SUPPORT- PROFESSIONAL: OTHER,807899653,NATIONAL GOVERNMENT SERVICES INCORPORATED,FULL AND OPEN COMPETITION,2013-09-23,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HHSM500201200182G_7530_GS35F0674T_4730/,1,2
