,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_70SBUR18C00000005_7003_-NONE-_-NONE-,57425486.68,2018,2018-03-03,2023-03-31,R499,SUPPORT- PROFESSIONAL: OTHER,159836121,PAE PROFESSIONAL SERVICES LLC,FULL AND OPEN COMPETITION,2023-03-31,NEGOTIATED PROPOSAL/QUOTE,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_70SBUR18C00000005_7003_-NONE-_-NONE-/,3,0
0,CONT_AWD_HSHQDC12J00392_7001_HHSN316201200002W_7529,1268991.07,2012,2012-09-26,2015-09-27,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2015-09-27,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSHQDC12J00392_7001_HHSN316201200002W_7529/,3,1
1,CONT_AWD_HSTS0112CHRM069_7013_-NONE-_-NONE-,5875251.77,2012,2012-09-28,2014-03-31,7030,ADP SOFTWARE,139727148,ACCENTURE FEDERAL SERVICES LLC,NOT COMPETED,2014-03-31,ONLY ONE SOURCE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0112CHRM069_7013_-NONE-_-NONE-/,1,1
2,CONT_AWD_HSTS0212JTTC432_7013_HSTS0212DTTC205_7013,38309859.4,2012,2012-04-02,2014-04-01,R499,SUPPORT- PROFESSIONAL: OTHER,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-04-01,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0212JTTC432_7013_HSTS0212DTTC205_7013/,8,1
3,CONT_AWD_HSTS0213JOIA324_7013_HSTS0212DTTC221_7013,5750000.0,2013,2013-08-29,2015-08-28,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2015-08-29,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0213JOIA324_7013_HSTS0212DTTC221_7013/,8,1
4,CONT_AWD_HSTS0212JTTC221_7013_HSTS0212DTTC221_7013,33151300.0,2012,2012-08-01,2014-07-31,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-07-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0212JTTC221_7013_HSTS0212DTTC221_7013/,8,1
5,CONT_AWD_HSTS0213JOIA317_7013_HSTS0212DTTC221_7013,6005730.49,2013,2013-11-01,2017-03-31,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2017-03-31,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0213JOIA317_7013_HSTS0212DTTC221_7013/,8,1
6,CONT_AWD_HSHQDC14J00234_7001_HSHQDC14DE2005_7001,250.0,2014,2014-05-29,2014-09-26,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2014-09-26,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSHQDC14J00234_7001_HSHQDC14DE2005_7001/,79,1
7,CONT_AWD_HSBP1017C00137_7014_-NONE-_-NONE-,26595396.61,2017,2017-09-29,2020-09-28,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2027-09-28,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSBP1017C00137_7014_-NONE-_-NONE-/,7,1
8,CONT_AWD_HSTS0216JOIA261_7013_HSTS0212DTTC221_7013,15141221.11,2016,2016-10-01,2017-07-30,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",139727148,ACCENTURE FEDERAL SERVICES LLC,FULL AND OPEN COMPETITION,2017-07-30,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_HSTS0216JOIA261_7013_HSTS0212DTTC221_7013/,8,1
