,contract_award_unique_key,base_and_exercised_options_value,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,product_or_service_code,product_or_service_code_description,recipient_duns,recipient_name,extent_competed,period_of_performance_potential_end_date,solicitation_procedures,naics_code,naics_description,usaspending_permalink,number_of_offers_received,rank
0,CONT_AWD_GS00I10AAC0046_4705_-NONE-_-NONE-,30630881.27,2010,2010-02-03,2010-02-15,D302,ADP SYSTEMS DEVELOPMENT SERVICES,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2018-02-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS00I10AAC0046_4705_-NONE-_-NONE-/,3,0
1,CONT_AWD_GS00Q14AJC0009_4732_-NONE-_-NONE-,13532901.62,2014,2014-08-12,2015-08-14,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2016-08-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS00Q14AJC0009_4732_-NONE-_-NONE-/,3,0
2,CONT_AWD_GS05Q15BMC0001_4732_-NONE-_-NONE-,7061440.93,2015,2015-05-21,2015-08-14,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2018-08-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS05Q15BMC0001_4732_-NONE-_-NONE-/,3,0
3,CONT_AWD_GS05Q15BMC0002_4732_-NONE-_-NONE-,17919815.38,2015,2015-08-15,2016-08-14,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2018-08-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS05Q15BMC0002_4732_-NONE-_-NONE-/,3,0
4,CONT_AWD_GS15Q16IAC0002_4732_-NONE-_-NONE-,3395832.74,2016,2016-08-15,2017-08-14,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION,2018-08-14,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS15Q16IAC0002_4732_-NONE-_-NONE-/,3,0
5,CONT_AWD_GS40Q16SJP0011_4732_-NONE-_-NONE-,326336.03,2016,2016-04-01,2017-04-30,7030,INFORMATION TECHNOLOGY SOFTWARE,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2017-04-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GS40Q16SJP0011_4732_-NONE-_-NONE-/,2,0
0,CONT_AWD_GST0009AJM090_4735_GS00T99ALD0211_4735,117377304.0,2009,2009-02-20,2014-02-23,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,097779698,SYSTEMS RESEARCH AND APPLICATIONS,COMPETITIVE DELIVERY ORDER,2014-02-23,NEGOTIATED PROPOSAL/QUOTE,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GST0009AJM090_4735_GS00T99ALD0211_4735/,4,1
0,CONT_AWD_GST0209CJ0808_4735_GS35F4581G_4730,15619567.72,2009,2009-09-30,2010-09-30,5810,COMM SECURITY EQ & COMPS,077799799,AMERICAN SYSTEMS CORPORATION,COMPETITIVE DELIVERY ORDER,2010-09-30,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GST0209CJ0808_4735_GS35F4581G_4730/,2,2
0,CONT_AWD_GSP0009CY5002_4740_GS00P08CYA0021_4740,68983.7,2009,2008-10-01,2009-09-30,D301,ADP FACILITY MANAGEMENT,613194799,"QINETIQ NORTH AMERICA, INC.",,,NEGOTIATED PROPOSAL/QUOTE,541519,OTHER COMPUTER RELATED SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GSP0009CY5002_4740_GS00P08CYA0021_4740/,0,3
1,CONT_AWD_GST0809BP0002_4740_GS35F4674H_4730,7368526.22,2009,2009-06-05,2010-06-30,D301,ADP FACILITY MANAGEMENT,613194799,"QINETIQ NORTH AMERICA, INC.",,2014-06-30,NEGOTIATED PROPOSAL/QUOTE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,https://www.usaspending.gov/#/award/CONT_AWD_GST0809BP0002_4740_GS35F4674H_4730/,5,3
