,action_date_fiscal_year,allaward,allawardtotal,filteredaward,filteredawardtotal,agency_abb
0,2009,61941,"$61,300,432,073.84",981,"$1,796,802,381.68",DHS
1,2010,63120,"$34,971,497,690.47",159,"$223,445,965.43",DHS
2,2011,63297,"$43,272,239,837.08",120,"$422,473,357.94",DHS
3,2012,61929,"$181,195,030,163.74",105,"$204,641,249.64",DHS
4,2013,57758,"$2,662,819,776,325.54",91,"$515,256,221.57",DHS
5,2014,55042,"$1,275,235,029,149.00",71,"$353,213,596.57",DHS
6,2015,57434,"$47,337,022,707.64",79,"$287,286,036.91",DHS
7,2016,63467,"$69,496,773,001.35",78,"$371,351,766.22",DHS
8,2017,127534,"$44,193,087,682.21",54,"$539,446,325.15",DHS
9,2018,51160,"$78,673,427,907.36",71,"$927,987,296.84",DHS
10,2019,44388,"$172,231,537,030.99",84,"$591,040,562.96",DHS
0,2009,21412,"$4,715,967,665.59",487,"$1,245,083,063.94",DOC
1,2010,20952,"$5,260,236,060.81",263,"$168,749,448.84",DOC
2,2011,19071,"$4,227,844,649.89",127,"$81,925,095.29",DOC
3,2012,18748,"$11,822,010,528.40",118,"$215,609,119.08",DOC
4,2013,17891,"$4,309,411,979.05",79,"$93,986,979.92",DOC
5,2014,19890,"$12,842,625,155.70",82,"$210,874,477.41",DOC
6,2015,28009,"$31,635,213,096.82",62,"$135,473,451.25",DOC
7,2016,26814,"$11,312,953,693.63",53,"$128,573,192.46",DOC
8,2017,21001,"$87,070,742,328.25",62,"$261,728,117.85",DOC
9,2018,17342,"$64,571,344,345.94",55,"$71,100,711.54",DOC
10,2019,15941,"$79,069,286,272.59",81,"$307,366,547.53",DOC
0,2009,1134600,"$178,847,566,658,853.00",3442,"$3,274,305,848.29",DOD
1,2010,1146277,"$286,852,791,458,756.00",2710,"$2,692,802,352.08",DOD
2,2011,1116906,"$147,672,968,038,620.00",2066,"$2,910,792,586.75",DOD
3,2012,1071281,"$86,439,578,393,665.00",1894,"$5,648,345,273.00",DOD
4,2013,984808,"$231,616,383,214,014.00",1596,"$2,625,396,725.98",DOD
5,2014,1014305,"$466,064,963,062,096.00",1602,"$2,619,001,344.51",DOD
