action_date_fiscal_year,DHS,DOC,DOD,DOJ,GSA,HHS,SEC,TREAS,USDA,VA
2009,3390,1482,14712,1831,1696,1577,61,1259,1480,5335
2010,3403,1694,14432,1918,1414,1771,109,1459,1553,5641
2011,3248,1510,13765,2292,1044,1818,127,1457,1391,5491
2012,3208,1676,13576,2526,683,1677,148,1368,1336,4149
2013,3206,1664,11834,2625,520,1705,135,1495,1297,3976
2014,3751,1976,12432,2919,496,1770,150,1522,1338,3733
2015,4077,2164,11885,2897,576,2853,150,1550,1416,3132
2016,3941,1988,11718,2966,605,3732,105,1645,1550,3315
2017,4271,1885,10779,2840,516,4091,87,1679,1730,3223
2018,4035,1924,10112,3433,496,3865,111,1290,1997,2507
2019,2946,2086,9373,2874,521,3045,86,1253,1740,2411
