action_date_fiscal_year,DHS,DOC,DOD,DOJ,GSA,HHS,SEC,TREAS,USDA,VA
2009,1796802381.68,1245083063.94,3274305848.29,905773641.71,740938358.09,1614285437.36,8982448.69,504009708.14,170342833.81,449187642.64
2010,223445965.43,168749448.84,2692802352.08,175793896.77,158192337.17,395631341.27,3109802.5,115482109.33,84443698.91,177913169.66
2011,422473357.94,81925095.29,2910792586.75,189407215.78,35642429.91,233083309.21,5644899.82,111029428.43,53216459.25,163965431.49
2012,204641249.64,215609119.08,5648345273.0,207701892.39,15284008.67,202328740.94,3094110.07,170823052.97,61357737.92,39395440.38
2013,515256221.57,93986979.92,2625396725.98,66920146.3,42518570.88,250453263.73,791628.06,141011305.25,39239423.19,65254832.17
2014,353213596.57,210874477.41,2619001344.51,213965137.61,59314782.02,222855044.74,6136206.13,132150353.11,133499734.78,240713071.51
2015,287286036.91,135473451.25,6100387165.76,162752508.38,141827118.27,1304397210.48,16003747.45,244214858.4,125893607.72,318274112.21
2016,371351766.22,128573192.46,6712898569.97,82733746.59,7842753.67,486925937.84,281708994.24,141677617.86,45170754.89,486123818.22
2017,539446325.15,261728117.85,5423453273.83,153192306.9,7676353.52,437441979.41,,76573523.9,38862224.13,134645825.13
2018,927987296.84,71100711.54,11631004685.17,158778750.38,73514458.05,222153646.55,,312873735.35,32842613.03,123404153.16
2019,591040562.96,307366547.53,12353673286.47,131303981.61,2972526.84,201392391.01,,143288954.57,21405634.45,215248539.2
